filename,band,bit_position
AONB.tif,1,0
Ancient_woodland.tif,1,1
Battlefield.tif,1,2
Brownfield_sites.tif,1,3
ENGLAND_100M.tif,1,4
Flood_storage_area.tif,1,5
Greenbelt.tif,1,6
Heritage_at_risk.tif,1,7
Heritage_coast.tif,2,0
Historic_parks_and_gardens.tif,2,1
Local_nature_reserve.tif,2,2
National_nature_reserve.tif,2,3
National_parks.tif,2,4
Nature_improvement_area.tif,2,5
Ramsar_site.tif,2,6
SSSIs.tif,2,7
Special_area_of_conservation.tif,3,0
Special_protection_area.tif,3,1
World_heritage_sites.tif,3,2
