filename,band,bit_position
AONB.tif,1,0
Agricultural_land_grade_1.tif,1,1
Agricultural_land_grade_2.tif,1,2
Ancient_woodland.tif,1,3
BUA.tif,1,4
Battlefield.tif,1,5
Brownfield_sites.tif,1,6
ENGLAND_100M.tif,1,7
FloodZone2.tif,2,0
FloodZone3.tif,2,1
Flood_storage_area.tif,2,2
Greenbelt.tif,2,3
Heritage_at_risk.tif,2,4
Historic_parks_and_gardens.tif,2,5
Local_nature_reserve.tif,2,6
National_nature_reserve.tif,2,7
National_parks.tif,3,0
Nature_improvement_area.tif,3,1
Overhead_cables.tif,3,2
Ramsar_site.tif,3,3
SSSIs.tif,3,4
Special_area_of_conservation.tif,3,5
Special_protection_area.tif,3,6
World_heritage_sites.tif,3,7
