Level1,Level2,Level3,Level4
Ownership,Central Government,DEFRA,
Ownership,Central Government,MOD,
Ownership,Central Government,Other,
Ownership,Local Government,,
Ownership,Church,,
Ownership,UK Company,,
Ownership,Overseas Company,,
Ownership,Crown,,
Ownership,Private individual,,
Ownership,Unregistered,,
Use and cover,Developed,Housing,Private owned
Use and cover,Developed,Housing,Private rented
Use and cover,Developed,Housing,Social rented
Use and cover,Developed,Housing,Community land trust
Use and cover,Developed,Commerce,
Use and cover,Developed,Industry,
Use and cover,Developed,Education,
Use and cover,Developed,Health,
Use and cover,Developed,Solar,
Use and cover,Undeveloped,Agriculture,
Use and cover,Undeveloped,Forest,
Use and cover,Undeveloped,Wild,
Use and cover,Undeveloped,Recreation space,
Protections,Greenbelt,,
Protections,Nature protections,National nature reserve,
Protections,Nature protections,Local nature reserve,
Protections,Nature protections,National park,
Protections,Nature protections,RAMSAR site,
Protections,Heritage protections,UNESCO World Heritage site,
Protections,Heritage protections,Conservation area,
Protections,Heritage protections,Listed building,
Protections,Heritage protections,Registered Park or Garden,
Density,Title deed density,,
Density,Population density,,
Density,Building density,,
Economics,Land value,,
Economics,Housing price,,
Economics,Housing demand,,
Availability,Call for sites,Housing,
Availability,Call for sites,Employment,
Availability,Call for sites,Retail,
Availability,Call for sites,Community,
Availability,Call for sites,Open spaces,
Availability,Call for sites,Environmental mitigation,
Availability,On the market,,
Availability,Permission to develop,,
Environmental,Air quality,,
Environmental,Noise,,
Environmental,Soil contamination,,
Activity,Strava,,
Activity,Road traffic,,
Activity,Commerce,,
Infrastructure limitations,Electricity,,
Infrastructure limitations,Water,,
Infrastructure limitations,Sewerage,,
Infrastructure limitations,Gas,,
User added,Zone 1,,
User added,Zone 2,,
User added,Zone 3,,
User added,Paint another...,,
User added,Upload another...,,
